item_id,item_name,item_description,item_type,item_price,ingredients,calories,rating,sales_count,cost_per_item
1,noodles rice beef pork dessert,mouth-watering dessert,dessert,19.15,"['noodles', 'rice', 'beef', 'pork']",727,3.06,8,9.02
2,pork vegetables fish beef drink,mouth-watering drink,drink,17.69,"['pork', 'vegetables', 'fish', 'beef']",412,1.69,90,6.02
3,shrimp bread rice noodles appetizer,mouth-watering appetizer,appetizer,18.68,"['shrimp', 'bread', 'rice', 'noodles']",358,2.89,26,4.44
4,vegetables beef dessert,delicious dessert,dessert,13.77,"['vegetables', 'beef']",355,2.5,,6.59
5,fish pork noodles dessert,healthy dessert,dessert,18.8,"['fish', 'pork', 'noodles']",117,3.49,22,8.86
6,noodles beef fish drink,delicious drink,drink,16.21,"['noodles', 'beef', 'fish']",833,4.64,77,6.21
7,vegetables beef drink,mouth-watering drink,drink,8.35,"['vegetables', 'beef']",342,1.31,58,1.84
8,beef noodles vegetables entree,healthy entree,entree,5.11,"['beef', 'noodles', 'vegetables']",796,2.27,26,2.29
9,bread noodles dessert,delicious dessert,dessert,8.02,"['bread', 'noodles']",724,3.63,56,3.95
10,chicken drink,satisfying drink,drink,15.56,['chicken'],367,5.67,96,6.09
11,rice noodles appetizer,mouth-watering appetizer,appetizer,12.36,"['rice', 'noodles']",303,5,71,4.63
12,shrimp noodles fish appetizer,mouth-watering appetizer,appetizer,16.56,"['shrimp', 'noodles', 'fish']",116,3.6,86,8.8
13,rice tofu entree,healthy entree,entree,12.91,"['rice', 'tofu']",699,2.41,4,3.46
14,tofu fish entree,tasty entree,entree,8.97,"['tofu', 'fish']",,1.53,10,4.94
15,beef vegetables appetizer,healthy appetizer,appetizer,8.39,"['beef', 'vegetables']",151,2.74,40,4.35
16,beef entree,tasty entree,entree,16.77,['beef'],408,3.62,43,3.56
17,fish vegetables tofu dessert,tasty dessert,dessert,19.29,,895,1.34,7,9.37
18,shrimp dessert,hearty dessert,dessert,8.65,['shrimp'],807,3.41,25,2.41
19,bread tofu rice drink,hearty drink,drink,15.35,"['bread', 'tofu', 'rice']",451,3.4,18,3.37
20,shrimp dessert,delicious dessert,dessert,116.81,['shrimp'],953,4.2,31,4.01
21,rice fish drink,hearty drink,drink,19.81,"['rice', 'fish']",418,4.4,82,5.79
22,chicken shrimp rice noodles appetizer,tasty appetizer,appetizer,5.95,"['chicken', 'shrimp', 'rice', 'noodles']",403,2.14,32,2.47
23,beef dessert,mouth-watering dessert,dessert,8.04,['beef'],919,3.89,3,3.88
24,noodles entree,mouth-watering entree,entree,11.31,['noodles'],233,2.13,40,5.91
25,bread entree,tasty entree,entree,15.62,['bread'],626,4.1,96,6.76
26,fish tofu vegetables rice drink,tasty drink,drink,11.7,"['fish', 'tofu', 'vegetables', 'rice']",0,1.99,96,4.07
27,chicken beef dessert,hearty dessert,dessert,8.52,"['chicken', 'beef']",914,1.18,72,3.76
28,tofu noodles chicken fish drink,mouth-watering drink,drink,17.56,"['tofu', 'noodles', 'chicken', 'fish']",314,2.22,67,8.95
29,rice pork tofu shrimp dessert,delicious dessert,dessert,7.12,"['rice', 'pork', 'tofu', 'shrimp']",489,3.77,13,4.09
30,vegetables bread dessert,delicious dessert,dessert,19.38,"['vegetables', 'bread']",742,1.36,48,111.46
31,vegetables fish rice bread entree,tasty entree,entree,14.5,"['vegetables', 'fish', 'rice', 'bread']",792,4.06,14,5.07
32,fish appetizer,tasty appetizer,appetizer,17.79,['fish'],501,4.07,97,8.13
33,beef tofu rice chicken entree,healthy entree,entree,13.45,"['beef', 'tofu', 'rice', 'chicken']",779,1.86,71,7.03
34,vegetables dessert,tasty dessert,dessert,16.81,['vegetables'],986,3.8,50,9.18
35,noodles vegetables tofu dessert,tasty dessert,dessert,12.16,"['noodles', 'vegetables', 'tofu']",691,1.7,100,7
36,noodles bread fish shrimp dessert,hearty dessert,dessert,16.16,"['noodles', 'bread', 'fish', 'shrimp']",141,3.87,80,5.19
37,pork tofu chicken entree,delicious entree,entree,10.18,"['pork', 'tofu', 'chicken']",786,1.23,38,2.96
38,vegetables shrimp entree,delicious entree,entree,18.07,"['vegetables', 'shrimp']",472,1.43,48,10.75
